who_country,who_region
BHR,Eastern Mediterranean
DNK,Europe
MAR,Eastern Mediterranean
JOR,Eastern Mediterranean
URY,Americas
PRI,Americas
TON,Western Pacific
TUR,Europe
NIC,Americas
BGD,South-East Asia
SWE,Europe
GLOBAL,NA
COD,Africa
NGA,Africa
ATG,Americas
TUN,Eastern Mediterranean
CZE,Europe
PNG,Western Pacific
FRA,Europe
ESP,Europe
JAM,Americas
SVK,Europe
LBR,Africa
NZL,Western Pacific
GNB,Africa
DJI,Eastern Mediterranean
WPR,NA
ECU,Americas
TTO,Americas
IND,South-East Asia
ALB,Europe
LSO,Africa
BTN,South-East Asia
ZWE,Africa
RUS,Europe
BEN,Africa
CYP,Europe
BIH,Europe
MLT,Europe
TCD,Africa
NLD,Europe
FJI,Western Pacific
SLB,Western Pacific
LBN,Eastern Mediterranean
BFA,Africa
KIR,Western Pacific
DZA,Africa
SAU,Eastern Mediterranean
SSD,Africa
PHL,Western Pacific
COG,Africa
IRN,Eastern Mediterranean
ISR,Europe
COM,Africa
CHN,Western Pacific
GRC,Europe
WB_LMI,NA
TZA,Africa
MDV,South-East Asia
GAB,Africa
CHE,Europe
POL,Europe
BHS,Americas
MRT,Africa
BOL,Americas
GBR,Europe
ARE,Eastern Mediterranean
CUB,Americas
AUT,Europe
MYS,Western Pacific
GHA,Africa
CHL,Americas
THA,South-East Asia
MDG,Africa
UKR,Europe
TGO,Africa
LKA,South-East Asia
VNM,Western Pacific
DEU,Europe
IDN,South-East Asia
IRQ,Eastern Mediterranean
LAO,Western Pacific
PSE,Eastern Mediterranean
LVA,Europe
MDA,Europe
AFG,Eastern Mediterranean
QAT,Eastern Mediterranean
PRY,Americas
LCA,Americas
MEX,Americas
CMR,Africa
ITA,Europe
SUR,Americas
AUS,Western Pacific
KHM,Western Pacific
DOM,Americas
LUX,Europe
ROU,Europe
WB_LI,NA
ARM,Europe
SYC,Africa
MWI,Africa
MKD,Europe
BEL,Europe
GTM,Americas
KEN,Africa
PRK,South-East Asia
SLV,Americas
AZE,Europe
KGZ,Europe
SYR,Eastern Mediterranean
VUT,Western Pacific
BRB,Americas
WB_HI,NA
MUS,Africa
NER,Africa
BWA,Africa
SLE,Africa
RWA,Africa
GNQ,Africa
PER,Americas
HTI,Americas
SEAR,NA
SWZ,Africa
UZB,Europe
GUY,Americas
GMB,Africa
TLS,South-East Asia
COL,Americas
MLI,Africa
PAN,Americas
GEO,Europe
BGR,Europe
FSM,Western Pacific
NPL,South-East Asia
SEN,Africa
USA,Americas
SRB,Europe
JPN,Western Pacific
EUR,NA
EMR,NA
AFR,NA
AGO,Africa
PAK,Eastern Mediterranean
STP,Africa
BDI,Africa
GIN,Africa
OMN,Eastern Mediterranean
KOR,Western Pacific
NOR,Europe
CPV,Africa
WSM,Western Pacific
CIV,Africa
MNG,Western Pacific
MOZ,Africa
CRI,Americas
SVN,Europe
NAM,Africa
HRV,Europe
KWT,Eastern Mediterranean
MMR,South-East Asia
ETH,Africa
VCT,Americas
BRA,Americas
BLZ,Americas
SOM,Eastern Mediterranean
SGP,Western Pacific
MNE,Europe
CAN,Americas
KAZ,Europe
WB_UMI,NA
TKM,Europe
YEM,Eastern Mediterranean
ARG,Americas
ZMB,Africa
LBY,Eastern Mediterranean
VEN,Americas
ISL,Europe
SDN,Eastern Mediterranean
PRT,Europe
EST,Europe
ZAF,Africa
IRL,Europe
HUN,Europe
GRD,Americas
BLR,Europe
EGY,Eastern Mediterranean
HND,Americas
CAF,Africa
UGA,Africa
BRN,Western Pacific
AMR,NA
TJK,Europe
LTU,Europe
ERI,Africa
FIN,Europe
