Model_Label,Coefficient,SE,CI_95_lower,CI_95_upper,Significant
Country FE,0.11446261523506596,0.03317335918471288,0.0494428312330287,0.1794823992371032,***
GBM,-0.203,0.09744897959183677,2.842,3.224,*
GLMNET,-0.165,0.09260204081632653,3.064,3.427,*
LM,-0.188,0.09387755102040825,3.106,3.474,*
Lagged Model,0.04609085374254038,0.02906118786436498,-0.01086907447161499,0.10305078195669574,
OLS,-0.03348954970764216,0.03644567823995322,-0.10492307905795048,0.03794397964266616,
RF,-0.195,0.13571428571428573,2.856,3.388,*
SVM,-0.212,0.11403061224489798,2.812,3.259,*
Two-way FE,0.03549305060500395,0.03127420674953076,-0.02580439462407634,0.09679049583408424,
XGB,-0.178,0.10535714285714282,2.838,3.251,*
