variable,missing_count,missing_rate,total_obs
gbd_life_expectancy,3547,0.780074774576644,4547
gbd_hale,3547,0.780074774576644,4547
gbd_dalys,3547,0.780074774576644,4547
longitude,2661,0.5852210248515505,4547
latitude,2661,0.5852210248515505,4547
health_exp_govt_gdp_lag1,451,0.09918627666593358,4547
health_exp_per_capita,286,0.06289861447107983,4547
govt_health_exp_per_capita,286,0.06289861447107983,4547
gdp_per_capita_lag1,279,0.06135913789311634,4547
health_exp_total_gdp,262,0.05762040906091929,4547
health_exp_govt_gdp,262,0.05762040906091929,4547
health_exp_private_gdp,262,0.05762040906091929,4547
life_expectancy_lag1,198,0.0435451946338245,4547
infant_mortality,161,0.035407961293160324,4547
gdp_per_capita,87,0.01913349461183198,4547
log_gdp_per_capita,87,0.01913349461183198,4547
region,23,0.005058280184737189,4547
income,23,0.005058280184737189,4547
region_group,23,0.005058280184737189,4547
country,0,0,4547
iso3c,0,0,4547
year,0,0,4547
life_expectancy,0,0,4547
population,0,0,4547
income_group,0,0,4547
log_population,0,0,4547
country_id,0,0,4547
is_oecd,0,0,4547
is_g7,0,0,4547
is_eurozone,0,0,4547
is_eu,0,0,4547
population_size_group,0,0,4547
